tenure,amount,rate,residence,age,credits,maintenance,history,savings,employment,property,job,status,purpose,guarantor,installments,housing,telephone,foreign,sex,personal,label
6,1382,1,1,28,2,1,critical,"[0, 100)","[1, 4)",car,skilled,no account,television,none,none,ownership,yes,True,female,female divorced/separated/married,0
12,951,4,4,27,4,1,so far so good,"[100, 500)","[0, 1)",car,skilled,petty,furniture,none,loan,rent,none,True,female,female divorced/separated/married,1
24,2760,4,4,36,1,1,so far so good,no savings,"[7, inf)",none,skilled,petty,used car,none,loan,without payment,yes,True,male,male single,0
18,4297,4,3,40,1,1,delay,"[0, 100)","[7, inf)",none,white color,petty,furniture,none,none,ownership,yes,True,male,male divorced/separated,1
9,936,4,2,52,2,1,critical,"[500, 1000)","[7, inf)",car,skilled,no account,education,none,none,ownership,yes,True,male,male single,0
12,1168,4,3,27,1,1,so far so good,"[0, 100)","[1, 4)",real estate,unskilled,overdrawn,car,none,none,ownership,none,True,male,male married/widowed,0
27,5117,3,4,26,2,1,delay,"[0, 100)","[4, 7)",car,skilled,no account,business,none,none,ownership,none,True,male,male single,0
12,902,4,4,21,1,1,so far so good,"[0, 100)","[4, 7)",building savings / life insurance,skilled,overdrawn,retraining,none,none,rent,none,True,male,male married/widowed,1
12,1495,4,1,38,2,2,critical,"[0, 100)","[7, inf)",real estate,unskilled,no account,car,none,none,ownership,none,True,male,male single,0
30,10623,3,4,38,3,2,critical,"[0, 100)","[7, inf)",none,white color,overdrawn,used car,none,none,without payment,yes,True,male,male single,0
12,1935,4,4,43,3,1,critical,"[0, 100)","[7, inf)",real estate,skilled,no account,furniture,none,none,ownership,yes,True,male,male single,0
12,1424,4,3,26,1,1,critical,"[0, 100)","[4, 7)",building savings / life insurance,skilled,petty,appliances,none,none,ownership,none,True,male,male single,0
24,6568,2,2,21,1,1,so far so good,"[0, 100)","[1, 4)",car,unskilled,overdrawn,business,none,consumer,ownership,none,True,male,male married/widowed,0
12,1413,3,2,55,1,1,so far so good,"[1000, inf)","[4, 7)",building savings / life insurance,skilled,no account,used car,none,none,ownership,none,False,male,male single,0
9,3074,1,2,33,2,2,critical,no savings,"[1, 4)",real estate,skilled,no account,television,none,none,ownership,none,True,male,male single,0
36,3835,2,4,45,1,1,so far so good,no savings,"[7, inf)",real estate,unskilled,no account,television,none,none,ownership,yes,True,female,female divorced/separated/married,0
27,5293,2,4,50,2,1,no loans,"[0, 100)",unemployed,building savings / life insurance,skilled,overdrawn,business,none,consumer,ownership,yes,True,male,male single,1
30,1908,4,4,66,1,1,delay,"[0, 100)","[7, inf)",real estate,white color,salary,business,none,none,ownership,yes,True,male,male single,1
36,3342,4,2,51,1,1,critical,no savings,"[7, inf)",car,skilled,no account,television,none,none,ownership,yes,True,male,male single,0
6,932,1,3,39,2,1,critical,no savings,"[4, 7)",building savings / life insurance,unskilled,petty,retraining,none,none,ownership,none,True,female,female divorced/separated/married,0
18,3104,3,1,31,1,1,no loans,"[0, 100)","[4, 7)",building savings / life insurance,skilled,overdrawn,business,none,loan,ownership,yes,True,male,male single,0
36,3913,2,2,23,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,salary,television,none,none,ownership,yes,True,male,male single,0
24,3021,2,2,24,1,1,so far so good,"[0, 100)","[1, 4)",real estate,unskilled,overdrawn,furniture,none,none,rent,none,True,male,male divorced/separated,0
10,1364,2,4,64,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,no account,car,none,none,ownership,yes,True,female,female divorced/separated/married,0
12,625,4,1,26,1,1,so far so good,"[0, 100)","[0, 1)",real estate,unskilled,petty,television,guarantor,loan,ownership,none,True,male,male married/widowed,0
12,1200,4,4,23,1,1,so far so good,no savings,"[1, 4)",building savings / life insurance,skilled,overdrawn,education,none,loan,rent,yes,True,female,female divorced/separated/married,0
12,707,4,2,30,2,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,no account,television,none,loan,ownership,none,True,male,male single,0
24,2978,4,4,32,2,2,delay,no savings,"[1, 4)",real estate,skilled,no account,business,none,none,ownership,yes,True,male,male single,0
15,4657,3,2,30,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,no account,used car,none,none,ownership,yes,True,male,male single,0
36,2613,4,2,27,2,1,no loans,"[0, 100)","[1, 4)",car,skilled,no account,repairs,none,none,ownership,none,True,male,male single,0
48,10961,1,2,27,2,1,so far so good,"[1000, inf)","[4, 7)",none,skilled,petty,television,co-applicant,loan,ownership,yes,True,male,male single,1
12,7865,4,4,53,1,1,so far so good,"[0, 100)","[7, inf)",none,white color,overdrawn,furniture,none,none,without payment,yes,True,male,male single,1
9,1478,4,2,22,1,1,so far so good,"[0, 100)","[4, 7)",car,skilled,no account,television,none,none,ownership,none,True,male,male single,1
24,3149,4,1,22,1,1,so far so good,"[0, 100)","[0, 1)",none,skilled,overdrawn,furniture,none,loan,without payment,none,True,male,male single,0
36,4210,4,2,26,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,salary,television,none,none,ownership,none,True,male,male single,1
9,2507,2,4,51,1,1,so far so good,"[500, 1000)","[7, inf)",none,unskilled,no account,car,none,none,without payment,none,True,male,male single,0
12,2141,3,1,35,1,1,so far so good,"[100, 500)","[4, 7)",none,skilled,no account,television,none,none,ownership,none,True,male,male single,0
18,866,4,2,25,1,1,so far so good,"[0, 100)","[1, 4)",real estate,unskilled,petty,television,guarantor,none,ownership,none,True,male,male married/widowed,0
4,1544,2,1,42,3,2,critical,"[0, 100)","[4, 7)",real estate,unskilled,no account,television,none,none,ownership,none,True,male,male single,0
24,1823,4,2,30,1,2,so far so good,"[0, 100)",unemployed,car,white color,overdrawn,television,none,consumer,ownership,none,True,male,male single,1
6,14555,1,2,23,1,1,so far so good,no savings,unemployed,building savings / life insurance,unemployed/unskilled non-resident,petty,car,none,none,ownership,yes,True,male,male single,1
21,2767,4,2,61,2,1,so far so good,"[100, 500)","[7, inf)",car,unskilled,petty,business,none,loan,rent,none,True,male,male divorced/separated,1
12,1291,4,2,35,2,1,critical,"[0, 100)","[1, 4)",building savings / life insurance,skilled,no account,television,none,none,ownership,none,True,female,female divorced/separated/married,0
30,2522,1,3,39,1,2,so far so good,"[0, 100)","[7, inf)",building savings / life insurance,skilled,overdrawn,television,guarantor,none,ownership,none,True,male,male single,0
24,915,4,2,29,1,1,so far so good,no savings,"[7, inf)",car,skilled,overdrawn,car,none,loan,ownership,none,True,female,female divorced/separated/married,1
6,1595,3,2,51,1,2,so far so good,"[0, 100)","[4, 7)",building savings / life insurance,skilled,no account,television,none,none,ownership,none,True,male,male single,0
48,4605,3,4,24,2,2,no loans,"[0, 100)","[7, inf)",none,skilled,overdrawn,used car,none,none,without payment,none,True,male,male single,1
12,1185,3,2,27,2,1,critical,"[0, 100)","[1, 4)",real estate,skilled,no account,business,none,none,ownership,none,True,female,female divorced/separated/married,0
12,3447,4,3,35,1,2,duly paid back,"[500, 1000)","[1, 4)",real estate,unskilled,no account,retraining,none,none,ownership,none,True,female,female divorced/separated/married,0
24,1258,4,1,25,1,1,so far so good,"[0, 100)","[4, 7)",real estate,skilled,no account,business,none,none,ownership,yes,True,male,male single,0
12,717,4,4,52,3,1,critical,"[0, 100)","[7, inf)",real estate,skilled,no account,television,none,none,ownership,none,True,male,male single,0
6,1204,4,1,35,1,1,no loans,"[100, 500)","[1, 4)",none,skilled,no account,car,none,loan,rent,none,False,male,male single,0
24,1925,2,2,26,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,salary,furniture,none,none,ownership,none,True,male,male single,0
18,433,3,4,22,1,1,so far so good,"[0, 100)",unemployed,real estate,skilled,no account,television,co-applicant,none,rent,none,True,female,female divorced/separated/married,1
6,666,3,4,39,2,1,critical,"[1000, inf)","[4, 7)",real estate,unskilled,overdrawn,car,none,none,ownership,yes,True,female,female divorced/separated/married,0
12,2251,1,2,46,1,1,so far so good,"[0, 100)","[1, 4)",car,unskilled,salary,furniture,none,none,ownership,none,True,female,female divorced/separated/married,0
30,2150,4,2,24,1,1,so far so good,"[0, 100)","[1, 4)",none,skilled,petty,car,guarantor,loan,ownership,none,True,female,female divorced/separated/married,1
24,4151,2,3,35,2,1,delay,"[100, 500)","[1, 4)",building savings / life insurance,skilled,no account,furniture,none,none,ownership,none,True,male,male single,0
9,2030,2,1,24,1,1,so far so good,no savings,"[4, 7)",car,skilled,petty,furniture,none,none,ownership,yes,True,male,male single,0
60,7418,1,1,27,1,1,delay,no savings,"[1, 4)",real estate,unskilled,petty,television,none,none,ownership,none,True,male,male single,0
24,2684,4,2,35,2,1,critical,"[0, 100)","[1, 4)",real estate,unskilled,no account,television,none,none,ownership,none,True,male,male single,0
12,2149,4,1,29,1,1,duly paid back,"[0, 100)","[1, 4)",none,skilled,overdrawn,television,none,none,without payment,none,True,male,male divorced/separated,1
15,3812,1,4,23,1,1,so far so good,"[100, 500)","[0, 1)",car,skilled,no account,used car,none,none,ownership,yes,True,female,female divorced/separated/married,0
11,1154,4,4,57,3,1,critical,"[100, 500)",unemployed,real estate,unskilled,no account,television,none,none,ownership,none,True,female,female divorced/separated/married,0
12,1657,2,2,27,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,overdrawn,furniture,none,none,ownership,none,True,male,male single,0
24,1603,4,4,55,1,1,so far so good,"[0, 100)","[7, inf)",car,skilled,overdrawn,television,none,none,ownership,none,True,female,female divorced/separated/married,0
18,5302,2,4,36,3,1,critical,"[0, 100)","[7, inf)",none,white color,overdrawn,car,none,none,without payment,yes,True,male,male single,0
12,2748,2,4,57,3,1,critical,"[0, 100)","[7, inf)",none,unskilled,no account,education,none,loan,without payment,none,True,female,female divorced/separated/married,0
10,1231,3,4,32,2,2,critical,"[0, 100)","[7, inf)",real estate,unskilled,no account,car,none,none,ownership,none,False,male,male single,0
15,802,4,3,37,1,2,so far so good,"[0, 100)","[7, inf)",car,skilled,petty,television,none,none,ownership,none,True,male,male single,1
36,6304,4,4,36,2,1,critical,no savings,"[7, inf)",real estate,skilled,no account,business,none,none,ownership,none,True,male,male single,0
24,1533,4,3,38,1,1,so far so good,"[0, 100)","[0, 1)",car,skilled,no account,television,none,consumer,ownership,yes,True,female,female divorced/separated/married,0
14,8978,1,4,45,1,1,so far so good,"[0, 100)","[7, inf)",building savings / life insurance,white color,overdrawn,car,none,none,ownership,yes,False,male,male divorced/separated,1
24,999,4,2,25,2,1,so far so good,no savings,"[7, inf)",car,skilled,no account,television,none,none,ownership,none,True,male,male single,0
18,2662,4,3,32,1,1,so far so good,no savings,"[4, 7)",building savings / life insurance,skilled,no account,car,none,none,ownership,none,False,male,male single,0
12,1402,3,4,37,1,1,critical,"[500, 1000)","[4, 7)",car,skilled,no account,furniture,none,none,rent,yes,True,female,female divorced/separated/married,0
48,12169,4,4,36,1,1,duly paid back,no savings,unemployed,none,white color,petty,car,co-applicant,none,without payment,yes,True,male,male single,0
48,3060,4,4,28,2,1,so far so good,"[0, 100)","[4, 7)",real estate,skilled,petty,television,none,none,ownership,none,True,male,male single,1
30,11998,1,1,34,1,1,so far so good,"[0, 100)","[0, 1)",none,unskilled,overdrawn,repairs,none,none,ownership,yes,True,male,male divorced/separated,1
9,2697,1,2,32,1,2,so far so good,"[0, 100)","[1, 4)",real estate,skilled,no account,television,none,none,ownership,none,True,male,male single,0
18,2404,2,2,26,2,1,critical,"[0, 100)","[1, 4)",car,skilled,no account,television,none,none,ownership,none,True,female,female divorced/separated/married,0
12,1262,2,4,49,1,1,so far so good,no savings,"[7, inf)",building savings / life insurance,unskilled,overdrawn,furniture,none,none,ownership,yes,True,male,male divorced/separated,0
6,4611,1,4,32,1,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,skilled,no account,furniture,none,none,ownership,none,True,female,female divorced/separated/married,1
24,1901,4,4,29,1,1,so far so good,"[100, 500)","[1, 4)",car,white color,no account,television,none,none,rent,yes,True,male,male single,0
15,3368,3,4,23,2,1,critical,"[1000, inf)","[7, inf)",none,skilled,no account,used car,none,none,rent,yes,True,male,male single,0
12,1574,4,2,50,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,no account,furniture,none,none,ownership,none,True,male,male single,0
18,1445,4,4,49,1,1,duly paid back,no savings,"[4, 7)",car,unskilled,salary,television,none,loan,ownership,none,True,male,male single,0
15,1520,4,4,63,1,1,critical,no savings,"[7, inf)",building savings / life insurance,skilled,no account,furniture,none,none,ownership,none,True,male,male single,0
24,3878,4,2,37,1,1,critical,"[100, 500)","[0, 1)",car,skilled,petty,car,none,none,ownership,yes,True,male,male divorced/separated,0
47,10722,1,1,35,1,1,so far so good,"[0, 100)","[0, 1)",real estate,unskilled,overdrawn,car,none,none,ownership,yes,True,female,female divorced/separated/married,0
48,4788,4,3,26,1,2,so far so good,"[0, 100)","[4, 7)",building savings / life insurance,skilled,overdrawn,used car,none,none,ownership,none,True,male,male single,0
48,7582,2,4,31,1,1,delay,"[100, 500)",unemployed,none,white color,petty,other,none,none,without payment,yes,True,male,male single,0
12,1092,4,4,49,2,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,petty,television,guarantor,none,ownership,yes,True,female,female divorced/separated/married,0
24,1024,4,4,48,1,1,delay,"[0, 100)","[0, 1)",real estate,skilled,overdrawn,television,none,consumer,ownership,none,True,male,male married/widowed,1
12,1076,2,2,26,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,no account,business,none,none,ownership,yes,False,male,male married/widowed,0
36,9398,1,4,28,1,1,so far so good,"[0, 100)","[0, 1)",car,white color,petty,used car,none,none,rent,yes,True,male,male married/widowed,1
24,6419,2,4,44,2,2,critical,"[0, 100)","[7, inf)",none,white color,overdrawn,used car,none,none,without payment,yes,True,female,female divorced/separated/married,0
42,4796,4,4,56,1,1,critical,"[0, 100)","[7, inf)",none,skilled,salary,used car,none,none,without payment,none,True,male,male single,0
48,7629,4,2,46,2,2,critical,no savings,"[7, inf)",car,white color,no account,business,none,loan,ownership,none,True,male,male divorced/separated,0
48,9960,1,2,26,1,1,so far so good,"[0, 100)","[0, 1)",car,skilled,petty,furniture,none,none,ownership,yes,True,female,female divorced/separated/married,1
12,4675,1,4,20,1,1,so far so good,no savings,"[0, 1)",car,skilled,no account,used car,none,none,rent,none,True,female,female divorced/separated/married,0
10,1287,4,2,45,1,1,so far so good,no savings,"[7, inf)",building savings / life insurance,unskilled,no account,car,co-applicant,none,ownership,none,False,male,male single,0
18,2515,3,4,43,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,no account,furniture,none,none,ownership,yes,True,male,male single,0
21,2745,3,2,32,2,1,critical,"[1000, inf)","[4, 7)",car,skilled,petty,furniture,none,none,ownership,yes,True,male,male single,0
6,672,1,4,54,1,1,so far so good,"[0, 100)",unemployed,real estate,unemployed/unskilled non-resident,no account,car,none,none,ownership,yes,True,female,female divorced/separated/married,0
36,3804,4,1,42,1,1,no loans,"[0, 100)","[1, 4)",car,skilled,petty,television,none,none,ownership,yes,True,female,female divorced/separated/married,1
24,1344,4,2,37,2,2,critical,no savings,"[4, 7)",real estate,unskilled,salary,car,none,loan,ownership,none,True,male,male single,1
10,1038,4,3,49,2,1,critical,"[0, 100)","[4, 7)",building savings / life insurance,skilled,overdrawn,car,co-applicant,none,ownership,yes,True,male,male single,0
48,10127,2,2,44,1,1,critical,"[500, 1000)","[1, 4)",none,skilled,no account,car,none,loan,without payment,none,True,male,male single,1
6,1543,4,2,33,1,1,so far so good,"[1000, inf)","[1, 4)",real estate,skilled,no account,furniture,none,none,ownership,none,True,male,male divorced/separated,0
30,4811,2,4,24,1,1,so far so good,no savings,"[4, 7)",building savings / life insurance,unskilled,no account,used car,none,consumer,rent,none,True,female,female divorced/separated/married,0
12,727,4,3,33,1,1,so far so good,"[100, 500)","[0, 1)",none,unskilled,overdrawn,television,none,none,ownership,yes,True,male,male married/widowed,1
8,1237,3,4,24,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,petty,furniture,none,none,ownership,none,True,female,female divorced/separated/married,1
9,276,4,4,22,1,1,so far so good,"[0, 100)","[1, 4)",real estate,unskilled,petty,car,none,none,rent,none,True,male,male married/widowed,0
48,5381,3,4,40,1,1,so far so good,no savings,unemployed,none,unemployed/unskilled non-resident,petty,other,none,loan,without payment,yes,True,male,male single,0
24,5511,4,1,25,1,1,so far so good,"[100, 500)","[1, 4)",car,skilled,no account,furniture,none,consumer,ownership,none,True,male,male single,0
24,3749,2,4,26,1,1,so far so good,"[0, 100)","[0, 1)",car,skilled,salary,furniture,none,none,ownership,none,True,female,female divorced/separated/married,0
12,685,2,3,25,1,1,so far so good,"[0, 100)","[4, 7)",car,unskilled,petty,car,none,loan,ownership,none,True,male,male married/widowed,1
4,1494,1,2,29,1,2,so far so good,no savings,"[0, 1)",real estate,unskilled,salary,car,none,none,ownership,none,False,male,male single,0
36,2746,4,4,31,1,1,duly paid back,"[0, 100)","[7, inf)",car,skilled,overdrawn,furniture,none,loan,ownership,none,True,male,male single,1
12,708,2,3,38,1,2,so far so good,"[0, 100)","[1, 4)",building savings / life insurance,unskilled,overdrawn,furniture,guarantor,none,ownership,none,True,male,male single,0
24,4351,1,4,48,1,1,so far so good,no savings,"[1, 4)",building savings / life insurance,unskilled,petty,furniture,none,none,ownership,yes,True,female,female divorced/separated/married,0
12,701,4,2,32,2,1,critical,"[0, 100)","[1, 4)",car,skilled,no account,education,none,none,ownership,none,True,male,male single,0
15,3643,1,4,27,2,1,delay,"[0, 100)","[7, inf)",building savings / life insurance,unskilled,overdrawn,furniture,none,none,ownership,none,True,female,female divorced/separated/married,0
30,4249,4,2,28,2,1,critical,"[0, 100)",unemployed,car,white color,petty,car,none,none,ownership,none,True,male,male married/widowed,1
24,1938,4,3,32,1,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,skilled,overdrawn,television,none,none,ownership,none,True,male,male divorced/separated,1
24,2910,2,1,34,1,1,so far so good,"[0, 100)","[4, 7)",none,white color,overdrawn,used car,none,none,without payment,yes,True,male,male single,0
18,2659,4,2,28,1,1,so far so good,"[1000, inf)","[1, 4)",car,skilled,overdrawn,furniture,none,none,ownership,none,True,male,male single,0
18,1028,4,3,36,2,1,critical,"[0, 100)","[1, 4)",real estate,skilled,no account,car,none,none,ownership,none,True,female,female divorced/separated/married,0
8,3398,1,4,39,2,1,critical,"[0, 100)","[4, 7)",real estate,unskilled,overdrawn,car,none,none,ownership,none,False,male,male single,0
12,5801,2,4,49,1,1,critical,no savings,"[7, inf)",building savings / life insurance,skilled,no account,furniture,none,none,rent,yes,True,male,male single,0
24,1525,4,3,34,1,2,so far so good,"[1000, inf)","[4, 7)",car,skilled,no account,car,none,none,ownership,yes,True,female,female divorced/separated/married,0
36,4473,4,2,31,1,1,so far so good,"[0, 100)","[7, inf)",car,skilled,salary,television,none,none,ownership,none,True,male,male single,0
6,1068,4,4,28,1,2,so far so good,"[0, 100)","[7, inf)",car,skilled,petty,television,none,none,ownership,none,True,male,male single,0
24,6615,2,4,75,2,1,critical,"[0, 100)",unemployed,none,white color,overdrawn,used car,none,none,without payment,yes,True,male,male single,0
18,1864,4,2,30,2,1,critical,"[100, 500)","[1, 4)",real estate,skilled,no account,education,none,none,ownership,none,True,female,female divorced/separated/married,1
60,7408,4,2,24,1,1,so far so good,"[100, 500)","[0, 1)",building savings / life insurance,white color,petty,car,none,none,ownership,none,True,female,female divorced/separated/married,1
48,11590,2,4,24,2,1,critical,"[100, 500)","[1, 4)",car,unskilled,no account,used car,none,loan,rent,none,True,female,female divorced/separated/married,1
24,4110,3,4,23,2,2,no loans,"[0, 100)","[7, inf)",none,skilled,overdrawn,furniture,none,loan,rent,none,True,male,male single,1
6,3384,1,4,44,1,1,critical,"[0, 100)","[1, 4)",real estate,white color,overdrawn,furniture,none,none,rent,yes,True,male,male divorced/separated,1
13,2101,2,4,23,1,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,unskilled,petty,television,guarantor,none,ownership,none,True,female,female divorced/separated/married,0
15,1275,4,2,24,1,1,so far so good,no savings,"[1, 4)",car,skilled,overdrawn,appliances,none,none,rent,none,True,female,female divorced/separated/married,1
24,4169,4,4,28,1,1,so far so good,"[0, 100)","[1, 4)",building savings / life insurance,skilled,overdrawn,furniture,none,none,ownership,none,True,male,male single,0
10,1521,4,2,31,1,1,so far so good,"[0, 100)","[1, 4)",car,unskilled,petty,furniture,none,none,ownership,none,True,male,male divorced/separated,0
24,5743,2,4,24,2,1,critical,"[0, 100)","[0, 1)",none,skilled,petty,education,none,none,without payment,yes,True,female,female divorced/separated/married,0
21,3599,1,4,26,1,1,so far so good,"[0, 100)","[4, 7)",car,unskilled,overdrawn,furniture,none,none,rent,none,True,female,female divorced/separated/married,0
18,3213,1,3,25,1,1,so far so good,"[500, 1000)","[0, 1)",real estate,skilled,petty,television,none,none,rent,none,True,male,male married/widowed,0
18,4439,1,1,33,1,1,so far so good,"[0, 100)","[7, inf)",real estate,white color,petty,business,co-applicant,loan,ownership,yes,True,male,male single,0
10,3949,1,1,37,1,2,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,unskilled,salary,car,guarantor,none,ownership,none,True,male,male single,0
15,1459,4,2,43,1,1,critical,"[0, 100)","[1, 4)",car,unskilled,no account,television,none,none,ownership,none,True,female,female divorced/separated/married,0
13,882,4,4,23,2,1,critical,"[0, 100)","[0, 1)",real estate,skilled,petty,television,guarantor,none,ownership,none,True,male,male single,0
24,3758,1,4,23,1,1,so far so good,"[500, 1000)",unemployed,none,unemployed/unskilled non-resident,petty,television,none,none,rent,none,True,female,female divorced/separated/married,0
6,1743,1,2,34,2,1,delay,"[100, 500)","[1, 4)",real estate,unskilled,no account,business,none,none,ownership,none,True,male,male single,0
9,1136,4,3,32,2,2,critical,"[1000, inf)","[7, inf)",none,skilled,petty,education,none,none,without payment,none,True,male,male single,1
9,1236,1,4,23,1,1,so far so good,"[0, 100)","[0, 1)",real estate,skilled,no account,appliances,none,none,rent,yes,True,female,female divorced/separated/married,0
9,959,1,2,29,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,petty,furniture,none,none,ownership,none,False,female,female divorced/separated/married,1
18,3229,2,4,38,1,1,critical,no savings,unemployed,none,white color,no account,used car,none,none,ownership,yes,True,male,male single,0
12,6199,4,2,28,2,1,no loans,"[0, 100)","[1, 4)",building savings / life insurance,skilled,overdrawn,television,none,none,rent,yes,True,male,male single,1
10,727,4,4,46,1,1,so far so good,"[500, 1000)","[7, inf)",none,skilled,no account,education,none,none,without payment,yes,True,male,male single,0
24,1246,4,2,23,1,1,so far so good,"[0, 100)","[0, 1)",real estate,unskilled,petty,car,none,consumer,ownership,none,True,male,male single,1
12,2331,1,4,49,1,1,critical,no savings,"[7, inf)",real estate,skilled,no account,television,co-applicant,none,ownership,yes,True,male,male single,0
36,4463,4,2,26,2,1,delay,"[0, 100)","[1, 4)",car,white color,no account,television,none,none,ownership,yes,True,male,male single,1
12,776,4,2,28,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,no account,television,none,none,ownership,none,True,male,male married/widowed,0
30,2406,4,4,23,1,1,so far so good,"[0, 100)","[4, 7)",real estate,skilled,overdrawn,furniture,none,none,rent,none,True,female,female divorced/separated/married,1
18,1239,4,4,61,1,1,so far so good,no savings,"[1, 4)",none,skilled,petty,education,none,none,without payment,none,True,male,male single,0
12,3399,2,3,37,1,1,so far so good,no savings,"[7, inf)",car,white color,salary,television,none,none,ownership,none,True,male,male single,0
12,2247,2,2,36,2,1,delay,"[0, 100)","[1, 4)",car,skilled,salary,car,none,consumer,ownership,yes,True,female,female divorced/separated/married,0
6,1766,1,2,21,1,1,so far so good,"[0, 100)","[1, 4)",building savings / life insurance,skilled,no account,furniture,none,none,rent,none,True,male,male married/widowed,0
18,2473,4,1,25,1,1,so far so good,"[0, 100)",unemployed,car,unemployed/unskilled non-resident,overdrawn,furniture,none,none,ownership,none,True,male,male single,1
12,1542,2,4,36,1,1,so far so good,"[0, 100)","[4, 7)",car,skilled,no account,business,none,none,ownership,yes,True,male,male single,0
18,3850,3,1,27,2,1,critical,"[0, 100)","[4, 7)",car,skilled,no account,used car,none,none,ownership,none,True,male,male single,0
18,3650,1,4,22,1,1,so far so good,"[0, 100)","[0, 1)",car,skilled,overdrawn,furniture,none,none,rent,none,True,female,female divorced/separated/married,0
36,3446,4,2,42,1,2,so far so good,"[0, 100)","[7, inf)",car,skilled,overdrawn,furniture,none,none,ownership,none,True,male,male single,1
18,3001,2,4,40,1,1,so far so good,"[0, 100)","[4, 7)",real estate,skilled,petty,furniture,none,none,rent,none,True,female,female divorced/separated/married,0
36,3079,4,4,36,1,1,so far so good,no savings,"[1, 4)",real estate,skilled,no account,car,none,none,ownership,none,True,male,male single,0
18,6070,3,4,33,2,1,critical,"[0, 100)","[7, inf)",car,skilled,no account,television,none,none,ownership,yes,True,male,male single,0
10,2146,1,3,23,2,1,critical,"[0, 100)","[0, 1)",real estate,skilled,no account,furniture,none,none,rent,none,True,female,female divorced/separated/married,0
60,13756,2,4,63,1,1,critical,no savings,"[7, inf)",none,white color,no account,car,none,loan,without payment,yes,True,male,male single,0
60,14782,3,4,60,2,1,duly paid back,"[100, 500)","[7, inf)",none,white color,petty,other,none,loan,without payment,yes,True,female,female divorced/separated/married,1
48,7685,2,4,37,1,1,duly paid back,"[0, 100)","[4, 7)",car,skilled,overdrawn,business,guarantor,none,rent,none,True,female,female divorced/separated/married,1
18,2320,2,3,34,2,1,delay,"[0, 100)",unemployed,real estate,skilled,no account,television,none,none,ownership,none,True,male,male married/widowed,0
7,846,3,4,36,1,1,delay,no savings,"[7, inf)",none,skilled,no account,television,none,none,without payment,none,True,male,male single,0
36,14318,4,2,57,1,1,so far so good,"[0, 100)","[7, inf)",none,white color,petty,car,none,none,without payment,yes,True,male,male single,1
6,362,4,4,52,2,1,critical,"[100, 500)","[1, 4)",car,unskilled,no account,car,none,none,ownership,none,True,female,female divorced/separated/married,0
20,2212,4,4,39,1,1,so far so good,no savings,"[4, 7)",car,skilled,overdrawn,furniture,none,none,ownership,yes,True,male,male single,0
18,12976,3,4,38,1,1,so far so good,"[0, 100)",unemployed,none,white color,petty,used car,none,none,without payment,yes,True,female,female divorced/separated/married,1
22,1283,4,4,25,1,1,so far so good,no savings,"[4, 7)",building savings / life insurance,skilled,no account,car,none,none,rent,none,True,female,female divorced/separated/married,0
12,1330,4,1,26,1,1,so far so good,"[0, 100)","[0, 1)",real estate,skilled,salary,car,none,none,ownership,none,True,male,male single,0
30,4272,2,2,26,2,1,delay,"[100, 500)","[1, 4)",building savings / life insurance,unskilled,no account,business,none,none,ownership,none,True,male,male single,0
18,2238,2,1,25,2,1,critical,"[0, 100)","[1, 4)",car,skilled,no account,television,none,none,ownership,none,True,female,female divorced/separated/married,0
18,1126,4,2,21,1,1,so far so good,no savings,"[0, 1)",real estate,skilled,no account,television,none,none,rent,yes,True,female,female divorced/separated/married,0
18,7374,4,4,40,2,1,critical,"[0, 100)",unemployed,building savings / life insurance,white color,petty,furniture,none,consumer,ownership,yes,True,male,male single,0
15,2326,2,4,27,1,1,critical,"[500, 1000)","[1, 4)",car,skilled,petty,business,none,loan,ownership,none,True,male,male single,0
9,1449,3,2,27,2,1,so far so good,"[0, 100)","[4, 7)",car,skilled,no account,business,none,none,ownership,none,True,female,female divorced/separated/married,0
18,1820,2,2,30,1,1,so far so good,"[0, 100)","[1, 4)",building savings / life insurance,white color,no account,car,none,none,ownership,yes,True,male,male married/widowed,0
12,983,1,4,19,1,1,so far so good,"[1000, inf)","[0, 1)",real estate,unskilled,petty,furniture,none,none,rent,none,True,female,female divorced/separated/married,0
36,3249,2,4,39,1,2,so far so good,"[0, 100)","[4, 7)",none,white color,overdrawn,car,none,loan,without payment,yes,True,male,male single,0
